Date,time,Carbon monoxide,status,unit,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,Ozone,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit,Sulphur dioxide,status,unit,"1,2,3-trimethylbenzene",status,unit,"1,2,4-trimethylbenzene",status,unit,"1,3,5-trimethylbenzene",status,unit,"1,3-butadiene",status,unit,1-butene,status,unit,1-pentene,status,unit,2-methylpentane,status,unit,benzene,status,unit,cis-2-butene,status,unit,ethane,status,unit,ethylbenzene,status,unit,ethene,status,unit,ethyne,status,unit,iso-butane,status,unit,iso-octane,status,unit,iso-pentane,status,unit,isoprene,status,unit,m+p-xylene,status,unit,n-butane,status,unit,n-heptane,status,unit,n-hexane,status,unit,n-octane,status,unit,n-pentane,status,unit,o-xylene,status,unit,propane,status,unit,propene,status,unit,trans-2-butene,status,unit,trans-2-pentene,status,unit,toluene,status,unit,Black Carbon (880nm),status,unit,Blue Particulate matter (470nm),status,unit,Infra Red Particulate matter (950nm),status,unit,Red Particulate matter (660nm),status,unit,UV Particulate Matter (UV-BC),status,unit,UV Particulate Matter (370nm),status,unit,Yellow Particulate matter (590nm),status,unit
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2023,01:00,0.325976,P,mgm-3,11.594,P,ugm-3 (Ref.eq),12.34827,P,ugm-3,19.89,P,ugm-3,38.82375,P,ugm-3,50.09207,P,ugm-3,9,P,ugm-3 (BAM),1.59654,P,ugm-3,0.024946,P,ugm-3,0.192763,P,ugm-3,0.031776,P,ugm-3,0.05225,P,ugm-3,0.285335,P,ugm-3,0.054456,P,ugm-3,0.18266,P,ugm-3,0.597182,P,ugm-3,0.126317,P,ugm-3,5.803442,P,ugm-3,0.163904,P,ugm-3,0.758976,P,ugm-3,0.346568,P,ugm-3,1.383432,P,ugm-3,0.23399,P,ugm-3,0.790027,P,ugm-3,0.043938,P,ugm-3,0.516912,P,ugm-3,1.82674,P,ugm-3,0.180739,P,ugm-3,0.181329,P,ugm-3,0.064381,P,ugm-3,0.387509,P,ugm-3,0.159417,P,ugm-3,3.129564,P,ugm-3,0.845547,P,ugm-3,0.348228,P,ugm-3,0.045492,P,ugm-3,1.038235,P,ugm-3,0.5,P,ugm-3,0.7,P,ugm-3,0.5,P,ugm-3,0.6,P,ugm-3,,,,0.7,P,ugm-3,0.6,P,ugm-3
01/01/2023,02:00,0.442396,P,mgm-3,12.561,P,ugm-3 (Ref.eq),14.9676,P,ugm-3,24.48,P,ugm-3,47.43,P,ugm-3,47.49766,P,ugm-3,11,P,ugm-3 (BAM),1.86263,P,ugm-3,0.024946,P,ugm-3,0.331567,P,ugm-3,0.072189,P,ugm-3,0.046601,P,ugm-3,0.311503,P,ugm-3,0.05338,P,ugm-3,0.297747,P,ugm-3,0.824902,P,ugm-3,0.150941,P,ugm-3,5.396183,P,ugm-3,0.226111,P,ugm-3,1.534503,P,ugm-3,0.437228,P,ugm-3,1.322416,P,ugm-3,0.332232,P,ugm-3,1.137626,P,ugm-3,0.073459,P,ugm-3,0.890911,P,ugm-3,1.962855,P,ugm-3,0.385652,P,ugm-3,0.230801,P,ugm-3,0.084591,P,ugm-3,0.538249,P,ugm-3,0.324859,P,ugm-3,2.99273,P,ugm-3,1.043828,P,ugm-3,0.41644,P,ugm-3,0.052408,P,ugm-3,1.633517,P,ugm-3,0.5,P,ugm-3,0.6,P,ugm-3,0.5,P,ugm-3,0.5,P,ugm-3,,,,0.6,P,ugm-3,0.6,P,ugm-3
01/01/2023,03:00,0.419112,P,mgm-3,22.223,P,ugm-3 (Ref.eq),10.85151,P,ugm-3,20.84625,P,ugm-3,37.485,P,ugm-3,48.89465,P,ugm-3,9,P,ugm-3 (BAM),1.86263,P,ugm-3,0.024946,P,ugm-3,0.271208,P,ugm-3,0.088464,P,ugm-3,0.047535,P,ugm-3,0.275918,P,ugm-3,0.04663,P,ugm-3,0.249523,P,ugm-3,0.595146,P,ugm-3,0.132566,P,ugm-3,6.618427,P,ugm-3,0.187456,P,ugm-3,0.740417,P,ugm-3,0.332958,P,ugm-3,1.14525,P,ugm-3,0.785589,P,ugm-3,0.950322,P,ugm-3,0.048656,P,ugm-3,0.717519,P,ugm-3,1.817728,P,ugm-3,0.356793,P,ugm-3,0.193454,P,ugm-3,0.077889,P,ugm-3,0.457775,P,ugm-3,0.243577,P,ugm-3,3.213332,P,ugm-3,1.053208,P,ugm-3,0.355694,P,ugm-3,0.037864,P,ugm-3,1.616759,P,ugm-3,0.4,P,ugm-3,0.4,P,ugm-3,0.4,P,ugm-3,0.4,P,ugm-3,,,,0.4,P,ugm-3,0.4,P,ugm-3
01/01/2023,04:00,0.395828,P,mgm-3,18.358,P,ugm-3 (Ref.eq),10.72678,P,ugm-3,18.93375,P,ugm-3,35.38125,P,ugm-3,52.88605,P,ugm-3,10,P,ugm-3 (BAM),1.33045,P,ugm-3,0.024946,P,ugm-3,0.185119,P,ugm-3,0.058069,P,ugm-3,0.032048,P,ugm-3,0.24765,P,ugm-3,0.043324,P,ugm-3,0.213102,P,ugm-3,0.574809,P,ugm-3,0.119432,P,ugm-3,7.186727,P,ugm-3,0.168333,P,ugm-3,2.457396,P,ugm-3,0.281189,P,ugm-3,1.141045,P,ugm-3,0.200399,P,ugm-3,0.845637,P,ugm-3,0.04469,P,ugm-3,0.584465,P,ugm-3,1.849958,P,ugm-3,0.179791,P,ugm-3,0.185087,P,ugm-3,0.023898,P,ugm-3,0.419114,P,ugm-3,0.196354,P,ugm-3,3.493431,P,ugm-3,0.673668,P,ugm-3,0.380097,P,ugm-3,0.024028,P,ugm-3,0.969632,P,ugm-3,0.3,P,ugm-3,0.4,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,,,,0.4,P,ugm-3,0.3,P,ugm-3
01/01/2023,05:00,0.395828,P,mgm-3,19.324,P,ugm-3 (Ref.eq),8.48164,P,ugm-3,18.7425,P,ugm-3,31.7475,P,ugm-3,54.68218,P,ugm-3,11,P,ugm-3 (BAM),1.33045,P,ugm-3,0.024946,P,ugm-3,0.218662,P,ugm-3,0.044723,P,ugm-3,0.028624,P,ugm-3,0.274344,P,ugm-3,0.03179,P,ugm-3,0.207045,P,ugm-3,0.559975,P,ugm-3,0.157076,P,ugm-3,5.6,P,ugm-3,0.140004,P,ugm-3,1.204285,P,ugm-3,0.351817,P,ugm-3,1.169168,P,ugm-3,0.281814,P,ugm-3,0.857752,P,ugm-3,0.035303,P,ugm-3,0.437348,P,ugm-3,1.753228,P,ugm-3,0.088314,P,ugm-3,0.23565,P,ugm-3,0.063177,P,ugm-3,0.439919,P,ugm-3,0.293326,P,ugm-3,3.15068,P,ugm-3,0.719499,P,ugm-3,0.374568,P,ugm-3,0.031589,P,ugm-3,0.863348,P,ugm-3,0.4,P,ugm-3,0.4,P,ugm-3,0.4,P,ugm-3,0.4,P,ugm-3,,,,0.4,P,ugm-3,0.4,P,ugm-3
01/01/2023,06:00,0.337618,P,mgm-3,22.223,P,ugm-3 (Ref.eq),7.23434,P,ugm-3,17.40375,P,ugm-3,28.49625,P,ugm-3,55.8796,P,ugm-3,13,P,ugm-3 (BAM),1.06436,P,ugm-3,0.024946,P,ugm-3,0.146184,P,ugm-3,0.042189,P,ugm-3,0.032313,P,ugm-3,0.244937,P,ugm-3,0.035533,P,ugm-3,0.179327,P,ugm-3,0.482046,P,ugm-3,0.129018,P,ugm-3,5.240616,P,ugm-3,0.113023,P,ugm-3,0.781633,P,ugm-3,0.277256,P,ugm-3,0.953632,P,ugm-3,0.176235,P,ugm-3,0.702314,P,ugm-3,0.020308,P,ugm-3,0.334189,P,ugm-3,1.30275,P,ugm-3,0.158288,P,ugm-3,0.210067,P,ugm-3,0.031695,P,ugm-3,0.404051,P,ugm-3,0.121559,P,ugm-3,2.828563,P,ugm-3,0.794201,P,ugm-3,0.347138,P,ugm-3,0.027218,P,ugm-3,0.658988,P,ugm-3,0.2,P,ugm-3,0.2,P,ugm-3,0.2,P,ugm-3,0.2,P,ugm-3,,,,0.2,P,ugm-3,0.2,P,ugm-3
01/01/2023,07:00,0.34926,P,mgm-3,17.392,P,ugm-3 (Ref.eq),5.73758,P,ugm-3,13.3875,P,ugm-3,22.185,P,ugm-3,57.8753,P,ugm-3,11,P,ugm-3 (BAM),1.06436,P,ugm-3,0.024946,P,ugm-3,0.107692,P,ugm-3,0.035383,P,ugm-3,0.031823,P,ugm-3,0.230925,P,ugm-3,0.014552,P,ugm-3,0.124674,P,ugm-3,0.480947,P,ugm-3,0.122918,P,ugm-3,5.268164,P,ugm-3,0.139673,P,ugm-3,1.118232,P,ugm-3,0.337086,P,ugm-3,0.90889,P,ugm-3,0.15484,P,ugm-3,0.565158,P,ugm-3,0.014136,P,ugm-3,0.477273,P,ugm-3,1.470668,P,ugm-3,0.209648,P,ugm-3,0.139473,P,ugm-3,0.047341,P,ugm-3,0.311246,P,ugm-3,0.122357,P,ugm-3,2.565263,P,ugm-3,0.602409,P,ugm-3,0.359713,P,ugm-3,0.020312,P,ugm-3,0.423351,P,ugm-3,0.2,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,0.2,P,ugm-3,,,,0.3,P,ugm-3,0.3,P,ugm-3
01/01/2023,08:00,0.34926,P,mgm-3,19.324,P,ugm-3 (Ref.eq),5.48812,P,ugm-3,16.065,P,ugm-3,24.48,P,ugm-3,54.08347,P,ugm-3,13,P,ugm-3 (BAM),1.33045,P,ugm-3,0.024946,P,ugm-3,0.160647,P,ugm-3,0.012762,P,ugm-3,0.011226,P,ugm-3,0.243114,P,ugm-3,0.023961,P,ugm-3,0.158256,P,ugm-3,0.463194,P,ugm-3,0.14049,P,ugm-3,5.991619,P,ugm-3,0.080061,P,ugm-3,0.707733,P,ugm-3,0.659316,P,ugm-3,1.205232,P,ugm-3,0.393001,P,ugm-3,0.659854,P,ugm-3,0.042903,P,ugm-3,0.288879,P,ugm-3,2.154178,P,ugm-3,0.132926,P,ugm-3,0.139523,P,ugm-3,0.008949,P,ugm-3,0.346872,P,ugm-3,0.156398,P,ugm-3,3.125905,P,ugm-3,0.652623,P,ugm-3,0.355585,P,ugm-3,0.014552,P,ugm-3,0.660732,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,,,,0.3,P,ugm-3,0.3,P,ugm-3
01/01/2023,09:00,0.337618,P,mgm-3,22.223,P,ugm-3 (Ref.eq),6.36123,P,ugm-3,17.2125,P,ugm-3,26.96625,P,ugm-3,53.48476,P,ugm-3,12,P,ugm-3 (BAM),1.06436,P,ugm-3,0.024946,P,ugm-3,0.150654,P,ugm-3,0.024397,P,ugm-3,0.011226,P,ugm-3,0.232038,P,ugm-3,0.018693,P,ugm-3,0.162554,P,ugm-3,0.460983,P,ugm-3,0.141069,P,ugm-3,6.564055,P,ugm-3,0.070074,P,ugm-3,0.631585,P,ugm-3,0.453255,P,ugm-3,1.417844,P,ugm-3,0.094621,P,ugm-3,0.809538,P,ugm-3,0.033364,P,ugm-3,0.23586,P,ugm-3,2.225583,P,ugm-3,0.140385,P,ugm-3,0.158388,P,ugm-3,0.030922,P,ugm-3,0.379519,P,ugm-3,0.084698,P,ugm-3,3.434243,P,ugm-3,0.80964,P,ugm-3,0.356223,P,ugm-3,0.024671,P,ugm-3,0.364903,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,0.3,P,ugm-3,,,,0.3,P,ugm-3,0.3,P,ugm-3
